AccidentArea,Sex,MaritalStatus,Age,Fault,VehicleCategory,FraudFound_P,Deductible,AgentType,AddressChange_Claim,BasePolicy
Urban,Female,Married,64,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Female,Single,34,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Female,Married,38,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Single,36,Policy Holder,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,30,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Female,Single,27,Third Party,Sedan,0,400,External,no change,All Perils
Urban,Female,Married,37,Policy Holder,Sport,0,400,Internal,no change,Liability
Rural,Male,Married,30,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,61,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,56,Third Party,Sedan,0,400,External,no change,Collision
Urban,Male,Married,50,Policy Holder,Sport,0,400,External,4 to 8 years,Liability
Urban,Female,Single,33,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,31,Third Party,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,53,Policy Holder,Sedan,0,400,External,4 to 8 years,Collision
Rural,Male,Single,23,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Female,Married,31,Third Party,Sedan,0,400,External,no change,Collision
Urban,Male,Married,52,Third Party,Sedan,0,400,External,no change,All Perils
Urban,Male,Married,44,Policy Holder,Sport,0,400,External,no change,Liability
Rural,Male,Single,0,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,34,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Female,Married,36,Third Party,Sport,0,400,External,no change,Liability
Urban,Male,Married,54,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Single,33,Third Party,Sport,0,400,External,no change,Liability
Rural,Male,Single,25,Third Party,Sedan,0,400,External,no change,Collision
Urban,Male,Married,48,Policy Holder,Sedan,0,400,External,no change,Collision
Urban,Male,Married,38,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Single,35,Policy Holder,Sport,0,400,External,no change,Liability
Rural,Male,Single,32,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,38,Third Party,Sport,0,400,External,no change,Liability
Urban,Male,Single,31,Policy Holder,Sport,0,400,External,no change,Liability
Urban,Male,Married,40,Policy Holder,Sport,0,500,External,2 to 3 years,Liability
Urban,Male,Married,61,Policy Holder,Sedan,0,400,External,no change,Collision
